State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,03/04/2021,4210.04,4476.56,4343.3
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,05/04/2021,4072.02,4777.68,4424.85
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,06/04/2021,4349.38,4747.02,4548.2
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,07/04/2021,4201.34,4697.53,4449.43
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,08/04/2021,3808.02,4408.65,4108.34
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,09/04/2021,4278.9,4728.67,4503.79
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,11/04/2021,4249.42,4766.58,4508.0
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,16/04/2021,4265.08,4724.85,4494.96
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,17/04/2021,4176.97,4670.42,4423.7
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,20/04/2021,4072.05,4707.14,4389.6
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,22/04/2021,4146.93,4821.7,4484.32
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,25/04/2021,4012.61,4582.85,4297.73
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,26/04/2021,4501.68,5194.48,4848.08
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,27/04/2021,4458.95,4740.01,4599.48
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,04/05/2021,4243.18,4950.33,4596.75
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,05/05/2021,3704.24,4274.05,3989.15
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,06/05/2021,4582.03,5030.24,4806.13
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,07/05/2021,4100.14,4521.5,4310.82
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,12/05/2021,4145.09,4718.76,4431.92
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,13/05/2021,4184.63,4649.12,4416.87
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,14/05/2021,4371.06,4936.64,4653.85
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,26/05/2021,4123.17,4675.19,4399.18
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,27/05/2021,4596.91,5064.69,4830.8
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,28/05/2021,4535.76,4910.48,4723.12
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,29/05/2021,4332.44,4647.79,4490.12
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,01/06/2021,4029.03,4663.33,4346.18
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,06/06/2021,4447.62,5097.12,4772.37
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,10/06/2021,4095.8,4547.64,4321.72
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,13/06/2021,4227.06,4906.77,4566.92
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,17/06/2021,4541.98,4941.61,4741.8
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,18/06/2021,4389.85,5071.82,4730.84
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,24/06/2021,4487.32,4853.42,4670.37
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,26/06/2021,4832.99,5197.25,5015.12
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,27/06/2021,4282.88,4987.42,4635.15
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,04/07/2021,4537.64,4939.92,4738.78
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,21/07/2021,4636.11,5441.78,5038.95
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,22/07/2021,4706.45,5386.51,5046.48
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,23/07/2021,4550.56,4928.49,4739.52
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,24/07/2021,4805.41,5289.32,5047.36
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,25/07/2021,4756.02,5066.6,4911.31
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,29/07/2021,4583.21,5262.3,4922.75
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,01/08/2021,4965.72,5340.86,5153.29
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,04/08/2021,4539.18,5199.19,4869.18
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,05/08/2021,4711.88,5383.96,5047.92
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,07/08/2021,4884.88,5325.24,5105.06
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,09/08/2021,4812.87,5598.55,5205.71
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,12/08/2021,4746.43,5218.94,4982.68
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,13/08/2021,4925.61,5633.15,5279.38
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,14/08/2021,5066.11,5638.18,5352.14
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,17/08/2021,5035.78,5688.36,5362.07
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,18/08/2021,4594.74,5170.7,4882.72
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,20/08/2021,5019.98,5720.03,5370.01
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,21/08/2021,5153.83,5618.58,5386.2
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,27/08/2021,5219.29,6070.97,5645.13
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,28/08/2021,4617.65,5294.37,4956.01
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,29/08/2021,5367.73,5750.54,5559.14
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,31/08/2021,4625.23,5037.59,4831.41
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,02/09/2021,5256.03,5638.1,5447.06
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,10/09/2021,5302.97,5745.24,5524.1
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,11/09/2021,5078.54,5851.18,5464.86
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,13/09/2021,4552.76,5306.06,4929.41
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,15/09/2021,5287.79,5903.73,5595.76
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,16/09/2021,5675.1,6101.11,5888.11
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,20/09/2021,4770.44,5334.05,5052.25
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,25/09/2021,4898.1,5558.15,5228.12
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,28/09/2021,4903.58,5365.04,5134.31
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,01/10/2021,5033.35,5872.6,5452.98
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,05/10/2021,4969.88,5428.57,5199.22
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,09/10/2021,5098.97,5837.86,5468.42
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,14/10/2021,5055.01,5471.3,5263.16
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,17/10/2021,4923.35,5741.21,5332.28
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,24/10/2021,4978.26,5591.84,5285.05
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,26/10/2021,4694.39,5066.22,4880.31
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,30/10/2021,4971.88,5613.44,5292.66
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,31/10/2021,4661.77,5185.64,4923.71
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,03/11/2021,4616.84,5275.39,4946.12
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,07/11/2021,5156.94,5973.34,5565.14
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,08/11/2021,5066.01,5702.38,5384.19
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,12/11/2021,5142.37,5553.06,5347.71
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,14/11/2021,4875.56,5612.01,5243.78
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,17/11/2021,5462.56,6033.36,5747.96
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,21/11/2021,5046.22,5365.96,5206.09
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,22/11/2021,4968.46,5348.42,5158.44
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,29/11/2021,4708.44,5520.25,5114.35
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,01/12/2021,5182.73,5632.21,5407.47
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,04/12/2021,4903.05,5349.84,5126.44
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,08/12/2021,4974.81,5366.39,5170.6
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,12/12/2021,5175.81,5556.05,5365.93
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,16/12/2021,4926.02,5425.55,5175.79
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,19/12/2021,4952.32,5809.96,5381.14
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,26/12/2021,4907.56,5508.53,5208.05
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,27/12/2021,4611.48,5001.48,4806.48
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,30/12/2021,4332.2,5049.45,4690.82
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,04/01/2022,5065.64,5547.47,5306.56
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,07/01/2022,4933.45,5311.92,5122.69
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,11/01/2022,4703.51,5374.25,5038.88
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,17/01/2022,4777.96,5099.29,4938.63
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,25/01/2022,4563.12,5042.39,4802.76
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,29/01/2022,4302.67,4920.99,4611.83
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,31/01/2022,4291.54,4894.88,4593.21
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,01/02/2022,4280.43,4691.2,4485.82
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,03/02/2022,4178.98,4631.74,4405.36
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,07/02/2022,4158.29,4877.59,4517.94
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,08/02/2022,4387.28,4887.55,4637.41
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,11/02/2022,4767.3,5406.38,5086.84
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,16/02/2022,4071.47,4595.81,4333.64
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,19/02/2022,4414.31,5004.09,4709.2
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,21/02/2022,4900.7,5245.56,5073.13
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,22/02/2022,4563.47,5305.92,4934.69
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,24/02/2022,4371.91,4956.85,4664.38
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,25/02/2022,4155.05,4833.21,4494.13
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,01/03/2022,4021.4,4333.66,4177.53
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,02/03/2022,4336.72,5019.25,4677.99
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,03/03/2022,4548.02,5074.45,4811.23
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,05/03/2022,4272.39,4677.14,4474.76
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,07/03/2022,4744.71,5083.2,4913.96
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,08/03/2022,4438.88,4759.74,4599.31
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,10/03/2022,4419.62,4975.04,4697.33
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,11/03/2022,4327.76,4917.31,4622.54
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,13/03/2022,4567.26,5227.72,4897.49
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,14/03/2022,4655.54,5154.11,4904.83
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,15/03/2022,4400.85,5088.29,4744.57
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,16/03/2022,4371.5,4711.49,4541.49
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,19/03/2022,4408.94,4791.94,4600.44
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,21/03/2022,4942.05,5382.92,5162.48
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,04/04/2022,4709.97,5337.29,5023.63
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,07/04/2022,4355.66,4889.59,4622.62
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,10/04/2022,4206.63,4476.65,4341.64
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,12/04/2022,4487.54,5209.65,4848.59
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,15/04/2022,4211.02,4800.33,4505.68
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,18/04/2022,4690.03,5280.22,4985.12
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,20/04/2022,4329.27,4609.14,4469.2
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,23/04/2022,4341.9,4715.37,4528.63
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,27/04/2022,4065.15,4653.31,4359.23
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,29/04/2022,4791.03,5478.63,5134.83
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,01/05/2022,4100.5,4776.66,4438.58
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,02/05/2022,4528.66,5238.22,4883.44
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,04/05/2022,4328.78,4946.31,4637.54
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,06/05/2022,4217.32,4942.25,4579.78
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,07/05/2022,4335.17,4805.82,4570.49
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,08/05/2022,4708.87,5390.35,5049.61
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,09/05/2022,5099.64,5768.95,5434.3
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,10/05/2022,4723.6,5327.7,5025.65
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,13/05/2022,4090.82,4502.61,4296.72
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,14/05/2022,4698.61,5180.31,4939.46
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,15/05/2022,4354.67,5027.02,4690.85
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,22/05/2022,4496.86,4991.29,4744.08
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,24/05/2022,4191.89,4919.25,4555.57
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,25/05/2022,4647.1,5037.14,4842.12
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,27/05/2022,4491.66,5116.89,4804.28
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,30/05/2022,4794.89,5107.88,4951.38
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,31/05/2022,4595.09,4950.35,4772.72
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,01/06/2022,4833.18,5312.44,5072.81
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,02/06/2022,4608.23,5113.26,4860.74
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,03/06/2022,4714.93,5030.2,4872.57
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,10/06/2022,4564.28,5218.89,4891.58
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,14/06/2022,4739.28,5525.6,5132.44
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,15/06/2022,4618.53,5047.62,4833.07
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,19/06/2022,4835.15,5344.36,5089.75
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,23/06/2022,4773.56,5267.85,5020.71
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,24/06/2022,4996.58,5704.8,5350.69
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,25/06/2022,4546.73,5295.34,4921.03
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,27/06/2022,5052.79,5472.25,5262.52
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,28/06/2022,4927.29,5288.24,5107.77
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,29/06/2022,5134.18,5595.19,5364.69
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,04/07/2022,4833.57,5353.92,5093.75
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,06/07/2022,4623.62,5334.49,4979.06
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,08/07/2022,4683.26,5299.91,4991.59
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,11/07/2022,5161.91,6056.37,5609.14
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,12/07/2022,4947.91,5424.96,5186.44
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,18/07/2022,4972.41,5378.46,5175.43
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,20/07/2022,4783.2,5408.4,5095.8
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,22/07/2022,4931.41,5596.9,5264.15
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,23/07/2022,4390.87,4854.0,4622.44
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,26/07/2022,4997.48,5377.24,5187.36
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,06/08/2022,5041.2,5582.55,5311.87
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,11/08/2022,4663.23,5219.75,4941.49
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,12/08/2022,4843.65,5331.32,5087.48
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,13/08/2022,4842.97,5372.38,5107.67
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,16/08/2022,5052.45,5644.26,5348.35
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,18/08/2022,5136.52,5484.25,5310.39
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,20/08/2022,4917.91,5730.4,5324.16
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,21/08/2022,4823.65,5173.95,4998.8
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,27/08/2022,5496.4,5874.0,5685.2
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,29/08/2022,5447.48,6086.19,5766.83
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,03/09/2022,4907.34,5313.25,5110.29
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,05/09/2022,5166.65,5586.75,5376.7
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,06/09/2022,5185.85,5596.84,5391.35
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,08/09/2022,5152.27,5975.01,5563.64
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,10/09/2022,5001.44,5712.08,5356.76
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,12/09/2022,5522.46,5908.43,5715.45
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,13/09/2022,4835.8,5580.36,5208.08
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,14/09/2022,5322.66,5976.32,5649.49
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,16/09/2022,5158.92,5996.04,5577.48
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,18/09/2022,4962.84,5395.38,5179.11
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,26/09/2022,5068.18,5760.57,5414.38
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,29/09/2022,4935.6,5501.14,5218.37
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,03/10/2022,5714.24,6290.64,6002.44
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,07/10/2022,5171.03,5757.04,5464.04
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,08/10/2022,5007.21,5765.25,5386.23
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,12/10/2022,4800.97,5348.18,5074.58
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,13/10/2022,5275.67,5884.8,5580.23
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,14/10/2022,5219.34,5599.42,5409.38
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,17/10/2022,5367.79,5961.37,5664.58
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,18/10/2022,5698.44,6080.46,5889.45
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,22/10/2022,5381.51,6005.52,5693.52
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,23/10/2022,4957.58,5513.18,5235.38
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,24/10/2022,5063.25,5672.66,5367.96
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,04/11/2022,4827.81,5415.97,5121.89
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,07/11/2022,4969.08,5564.65,5266.86
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,11/11/2022,5503.36,5866.47,5684.91
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,13/11/2022,4847.24,5672.9,5260.07
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,15/11/2022,5189.3,5972.11,5580.7
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,23/11/2022,4898.76,5582.12,5240.44
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,24/11/2022,5130.36,6002.55,5566.46
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,01/12/2022,4878.83,5263.8,5071.32
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,10/12/2022,4690.92,5258.64,4974.78
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,12/12/2022,5400.62,6120.4,5760.51
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,13/12/2022,4706.53,5334.83,5020.68
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,16/12/2022,5131.35,5877.18,5504.26
Haryana,Karnal,Karnal Mandi,Chana (Gram),Desi,Local,23/12/2022,5046.12,5589.63,5317.88
